kode;beskrivelse
1;Hvit (også antikkhvit, offwhite)
2;Rød (også burgunder)
3;Blå
4;Grønn (også grønngrå, blågrå)
5;Grå
6;Svart (også blåsvart, grafitt mørk, gråsort, koksgrå mørk, koksgrå mørk metallic)
7;Beige
8;Brun
9;Gul (også oker, sennep, elfenben)
10;Oransje (også rødoransje, oransjegul)
11;Sølv (også sølv metallic)
12;Gull (også bronse, gull metallic)
13;Rosa
14;Fiolett (også blåfiolett, fiolettrød, lilla)
29;Turkis (også blågrønn, grønnblå)
99;Annen (flerfargede kjøretøy migrert fra gammel løsning)
