Kode;Navn
0853;3PLUSCOCO
0958;3S ALUTRAILERS
2430;A.P.E.L
0250;ABBEY
0549;ABI ACE
0335;ABS TRENCHLESS
0977;ABT
0976;ABT E-LINE GMBH
0476;AC MIDI
1219;ACBUS
7850;ACCESS
0940;ACE
0001;ACI RIESWEILER
0050;ACURA
7060;AD BOIVIN
6990;AD.EL
2770;ADI-TEK
0277;ADIVA
0823;ADLY MOTO
0320;ADRIA
9070;AEBI
1040;AEC
7010;AEON
0118;AEON MOTOR
8110;AERO
2950;AGADOS
8167;AGIRRA
0302;AGM
2330;AGROMET
0769;AGT
0691;AHRENS-FOX
7580;AIE
0178;AIMA
0054;AIRSTREAM
0154;AIRTRAILER
6820;AIXAM
7040;AJS
0145;AK FAHRZEUGE
1135;AKSOYLY
0059;AKTIEBOLAGET GEO-PLAST
1080;AKTIV
0242;ALF
1100;ALFA ROMEO
1930;ALFE S.L.
0677;ALKORO
9020;ALLGAIER
9040;ALLIS-CHALMERS
0259;ALPINA
0583;ALPINE
0150;ALPUS
0473;ALTAS
0174;ALTECH
0424;ALUTRAILER
0995;ALVA
1008;ALVIS
0155;AM GENERAL
0181;AM TRAILER
0083;AMATØR BIL
0084;AMATØR MC
4752;AMC
2160;AMECO
0251;AMERICAN IRONHORSE
4750;AMERICAN MOTORS
4751;AMERICAN MOTORS
1139;AMERIDAC
0897;AMGROUP BIKE
7620;AMS
1125;AMT TRAILER
0536;ANAIG
1115;ANSSEMS
8600;ANTONIO CARRARO
0815;ANWA
0973;APEX MOTOR CORP
0444;APLAN
8157;APOLLO
0338;APPLESTONE
6520;APRILIA
0514;ARCAS TRAILER
1162;ARCO
7150;ARCTIC CAT
0709;ARCTIC TRUCKS
1031;ARGO
7140;ARIEL
2130;ARKA R. SIMENSEN A/S
1294;ARNPRO
3280;ARO
0664;ARORA
8405;ARROW
0697;ARSLAN
3360;ASQUITH
1170;ASTON MARTIN
4290;ASTON MARTIN LAGONDA
0120;ASTRAL
7020;ATALA
1053;ATEC
2131;ATKA R. SIMENSEN A/S
2590;ATLAS
0313;ATLE HAVIG
