kjennemerke;understellsnr;reg_aar;reg_forsteg_norge;merkekode;modellbetegnelse;typebetegnelse;kjoretoygruppe;motorytelse;slagvolum;drivstoff;lengde;bredde;std_dekk_foran;std_dekk_bak;std_felg_foran;std_felg_bak;min_li_foran;min_li_bak;min_hast_foran;min_hast_bak;min_innpress_foran;min_innpress_bak;sporvidde_foran;sporvidde_bak;totalvekt;egenvekt;akseltrykk_foran;akseltrykk_bak;eu_variant;eu_versjon;bruktimportert;avreg_dato;farge;antall_aksler;antall_aksler_drift;tilhengervek_m_brems;tilhengervekt_u_brems;lengde_til_tilhkobling;max_belastning_h_fest;max_taklast;vogntogvekt;ytelsesmaal;sist_pkk_godkjent;neste_pkk;siste_reg_dato;reg1g;co2_utslippp;euronorm;sitteplasser;fab_mont_partikkelfilter
"RU08230";"WDT1ET5AC80005176";2008;20080227;870;"CAMPER 560 SK";"ACC";703;0;0;0;780;250;"185R14C";;"5JX14";;"100";;"J";;0;0;0;0;1600;1480;1600;0;;;0;20140321;"GRÅ";1;0;0;0;0;100;0;0;0;0;0;20130521;227;0;;0;0
"Z039520";"ZI56";1956;19601020;0;"-";"2-HJULS";702;0;0;0;420;175;;"650X16";;;;;;;0;0;0;0;2500;500;0;0;;;0;0;;1;0;0;0;0;0;0;0;0;0;0;19601020;0;0;;0;0
"JK05210";"20071310094";2008;20080522;2990;"TOKVAM ENAKSLET HENG";"----";702;0;0;0;565;245;"400/60 - 15,5";;;;"140";;"A6";;0;0;0;0;5000;1700;5000;0;;;0;0;"RØD";1;0;0;0;0;1600;0;0;0;0;0;20080522;522;0;;0;0
"S062220";"11101210069523";1962;20170512;3900;"220";"220 S";101;81;2195;1;488;180;"7,25-13";"7,25-13";"5JK-13";"5JK13";"81";"84";"S";;0;0;1470;1485;1845;1460;920;990;;;1;20171208;"SVART";2;1;1200;750;0;75;0;3045;1;0;0;20170512;607;0;"U";5;1
"DC02250";"F704732";1970;19700604;732;"MUSKETEER DD";"-";703;0;0;0;543;200;;"5.90 X 13";;;;"4";;;0;0;0;0;794;610;0;871;;;0;19941228;"GRØNN (FLERFARGET)";1;0;0;0;0;0;0;0;0;0;0;19910215;0;0;;0;0
"RF91500";"WDB6703661P159091";1991;19910725;3900;"814D";"42";321;100;3972;2;700;220;"8.5  X  17.5  L";"8.5  X  17.5  L";;;"116";"120";;;0;0;0;0;7490;3040;2500;5600;;;0;20160608;"HVIT";2;1;0;0;0;0;0;0;1;20150501;20160331;20090513;0;0;;3;0
"UR76890";"YV1MW765262166805";2005;20070209;5800;"V50";"M";101;80;1560;2;451;177;"195/65R15";"195/65R15";"6,0JX15";"6,0JX15";"85";"85";"T";;46;46;1548;1544;1900;1333;1020;1000;"MW76";"MW7652??";1;0;"SVART";2;1;1300;650;0;75;0;3200;1;20171113;20191031;20151218;909;132;;5;2
"W008510";"852";1969;19690400;5800;"-";"-";201;136,03;0;2;1280;235;;;;;;;;;0;0;0;0;11705;8030;0;5940;;;0;19840823;;2;1;0;0;0;0;0;0;1;0;20171031;19690400;0;0;;49;0
"KV04320";"3367216";2000;20000117;8250;"INDY LITE";"0983433";630;25;339;1;270;108;;;;;;;;;0;0;0;0;368;206;0;0;;;0;20101104;;0;0;0;0;0;0;0;0;1;0;0;20030110;117;0;;2;0
"E048300";"137592";1963;19630726;8403;"CORVETTE";"300";601;0;47;1;0;0;;;;;;;;;0;0;0;0;135;50;0;0;;;0;0;;2;1;0;0;0;0;0;0;0;0;0;20141219;0;0;;1;0
"LY58660";"JTEBZ29J400064222";2005;20050114;5480;"LAND CRUISER";"KDJ120L-GKAEYW";101;122;2982;2;481;179;"225/70 R 17";"225/70 R 17";"6J";"6J";"104";"104";"R";;30;30;1575;1575;2850;2120;1290;1800;;;0;0;"SVART";2;2;2800;750;0;130;80;5650;1;20171019;20191031;20150818;114;0;;5;0
"T001340";"6191977";1964;19640323;5750;"1200";"113";101;0;1192;1;407;154;"5.60 - 15";"5.60 - 15";"4";"4";;;;;0;0;0;0;1180;740;0;0;;;0;20040924;"BLÅ";2;1;650;370;0;0;0;0;0;20021004;20161031;20031015;0;0;;5;0
"DA05150";"WCJ115563YLGG2009";2001;20011018;851;"DE LUXE 561DM";"561DM";703;0;0;0;758;248;"205/70R15";;"RADIAL";;;;;;0;0;0;0;1600;1280;0;0;;;0;0;"HVIT";1;0;0;0;0;0;0;0;0;0;0;20120618;1018;0;;0;0
"BR43260";"JTEBZ29J300150167";2007;20071024;5480;"LANDCRUICER";"J12";315;127;2982;2;472;188;"265/65R17";"265/65R17";"7,5";"7,5";"93";"104";"S";;0;0;0;0;2850;2000;1290;1800;;;1;0;"SVART";2;2;2800;750;0;0;0;0;1;20180115;20191031;20071024;919;0;;2;0
"US01120";"237";1979;19791127;600;"-";"53";702;0;0;0;440;190;;"14.00 X 16";;"11\"";;"8";;;0;0;0;0;3990;1015;0;3500;;;0;0;"GRÅ";1;0;0;0;0;1500;0;0;0;0;0;20161128;0;0;;0;0
"BP05860";"4XASB8AS21C137630";2001;20010402;8250;"800 XCR";"-";630;114;794;1;274;120;;;;;;;;;0;0;0;0;511;294;0;0;;;0;0;"SVART";0;0;0;0;0;0;0;0;1;0;0;20150105;402;0;;1;0
"SU01460";"39857";1988;19880112;1140;"-";"230 T/87";709;0;0;0;261;134;;"5.00 - 10";;"3.50";;"4";;;0;0;0;0;700;130;0;700;;;0;0;;1;0;0;0;0;75;0;0;0;0;0;20030326;0;0;;0;0
"RH05250";"174602";1966;19660314;8401;"CORVETTE 300";"-";601;0;47;1;0;65;"2.25X23";"2.25X23";;;;;;;0;0;0;0;140;60;0;0;;;0;19930622;;2;1;0;0;0;0;0;0;0;0;0;19760526;0;0;;1;0
"AX03590";"BM256";1972;19721004;0;"-";"B.M.V.";709;0;0;0;290;155;;"5.00 X 8";;;;"4";;;0;0;0;0;600;120;0;0;;;0;0;;1;0;0;0;0;0;0;0;0;0;0;19750925;0;0;;0;0
