typegodkjenningsnr;eu_hovednummer;merkekode;modellbetegnelse;typebetegnelse;kjoretoygruppe;ramme_karosseri;motorytelse;slagvolum;drivstoff;lengde;bredde;std_dekk_foran;std_dekk_bak;std_felg_foran;std_felg_bak;min_li_foran;min_li_bak;min_hast_foran;min_hast_bak;min_innpress_foran;min_innpress_bak;maks_sporv_foran;maks_sporv_bak;motormerking;girkasse;stand_dba;omdreininger;totalvekt;egenvekt;till_foraksellast;till_bakaksellast;variant;versjon;gyldig_fra_unr;drivende_hjul;vognkort_anm;identitet_anm;antall_aksler;antall_aksler_drift;tilhengervekt_m_brems;tilhengervekt_u_brem;lengde_til_tilhkobling;max_belastning_h_feste;max_taklast;vogntogvekt;ytelsesmaal;co2_utslipp;sitteplasser;fab_mont_partikkelfilter
54860061999;"e4*98/14*0040*00";5800;"V 70";"S";101;"LUKKET MED 4 DØRER OG BAKLUKE";147;2435;1;471;180;"205/55R16";"205/55R16";"6.5J";"6.5J";"88";"88";"H";;43;43;"1563";"1560";"B5244T3";"AUTOMAT";82;4500;2130;1558;1060;1120;"SW58";"SW58K9??";"YV1S?????????????";;"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;1;1800;500;0;75;0;3930;1;246;5;0
55641072011;"e1*2007/46*0401*03";5750;"SHARAN";"7N";101;"FLERBRUKSBIL";103;1968;2;485;190;"205/60R16";"205/60R16";"6,5JX16";"6,5JX16";"94";"94";"U";;33;33;"1569";"1617";"CFF";"MANUELL";71;2375;2580;1867;1290;1340;"CFFBX1AF";"AM6AM6A60107MQ7VR2VWM";"??????7N?????????";;"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;2;2400;750;0;100;100;5025;1;162;7;2
55951592016;"e1*2007/46*0457*17";3900;"MARCO POLO";"639/2";101;"FLERBRUKSBIL";140;2143;2;537;193;"225/55R17 C";"225/55R17 C";"6.5JX17";"6.5JX17";"104";"104";"H";;50;50;"1670";"1650";"651.950";"AUTOMAT";79;2850;3100;1962;1550;1550;"KOA8L310N";"3FKR7S39BE";"?????????????????";"BAK";"EGENVEKT OG NYTTELAST ER VEILEDENDE - AVHENGIG AV UTSTYR;";;2;1;2500;750;0;100;0;5600;1;153;9;2
51730462005;"e1*2001/116*0174*12";5750;"POLO";"9N";101;"SEDAN MED BAKLUKE";59;1422;2;392;165;"165/70R14";"165/70R14";"5JX14";"5JX14";"80";"80";"S";;35;35;"1434";"1427";"BNV";"MANUELL";74;3000;1650;1089;900;800;"ABSBNVX01";"FM5FM52R0141N1K0GG";"???ZZZ9NZ????????";;"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;1;1000;580;0;50;75;2650;1;119;5;1
50030061996;"e1*93/81*0013*04";1230;"A4";"B5";101;"SELVBÆRENDE, LUKKET MED 4 DØRER OG BAKLUKE";110;2598;1;448;173;"195/65 R 15";"195/65 R 15";"6J";"6J";"86";"86";"V";;45;45;"1498";"1480";"ABC";"MANUELL";81;4125;1960;1460;1030;1040;"AABCQ1";"QM5ABFR93S5";"WAUZZZ8DZ??000001";"ALLE";;;2;2;1450;740;458;75;100;3335;1;0;5;0
10910042009;"e13*2001/116*0193*00";2660;"MAGEO 109";"250CEMAC";316;"SEPARAT RAMME, LUKKET MED 3 DØRER";95,50;2287;2;714;230;"215/70 R 15 C";"215/70 R 15 C";"6 J";"6 J";"106";"106";"P";;68;68;"1720";"1720";"F1AE0481N";"MANUELL";83;2700;3500;2830;1850;2000;;;"ZFA25000001000001";"FORAN";"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";"FIAT UNDERSTELL";2;1;1270;750;0;75;75;4770;1;0;5;1
63400172016;"e11*2007/46*0010*26";5150;"YETI";"5L";101;"STASJONSVOGN";110;1395;1;422;179;"215/60R16";"215/60R16";"7JX16";"7JX16";"94";"94";"H";;45;45;"1545";"1541";"CZD";"AUTOMAT";74;3750;2041;1421;1050;1030;"ACCZDAX1";"NAD6AD62E087ST617";"?????????????????";"ALLE";"EGENVEKT OG NYTTELAST ER VEILEDENDE - AVHENGIG AV UTSTYR;";;2;2;1800;740;0;80;100;3841;1;147;5;0
53730622008;"e1*2001/116*0293*10";4350;"ASTRA STATION WAGON";"A-H/SW";101;"FLERBRUKSBIL";110;1910;2;452;175;"205/55R16";"205/55R16";"61/2JX16";"61/2JX16";"86";"86";"H";;37;37;"1488";"1488";"Z19DTH";"MANUELL";77;3000;1990;1375;1060;940;"FK11";"2A08ADNFFD5";"W0L0AH???????????";;"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;1;1400;720;0;75;75;3430;1;156;5;2
770022010;;2350;"-";"J5";702;"ÅPEN STÅLKASSE MED NEDFELLBARE LEMMER";0;0;0;490;209;;"400/60-15.5";;"13,00";;"125";;;0;0;"0000";"0000";;;0;0;3990;955;0;3220;;;"J5???100000";;"HASTIGHET 40 KM/T";;1;0;0;0;0;770;0;0;1;0;0;0
40062005;;3390;"H1 SV";"KMJWVH7HP";301;"SELVBÆRENDE, LUKKET MED 3 SIDEDØRER OG BAKLUKE ELLER";73;2476;2;504;182;"205/70 R 15C";"205/70 R 15C";"6 J";"6 J";"106";"106";"N";;40;40;"1570";"1545";"D4BH";"MANUELL";80;2850;3130;1905;1460;1900;;;"KMJWVH7HP?U000001";"BAK";;"KOMBINERT BIL, EFFEKT 73 KW, EGENVEKT 1905 KG. MAN.GIR.";2;1;1500;700;0;75;70;4630;1;0;6;0
