kjennemerke;understellsnr;reg_aar;typegodkjenningsnr;reg_forsteg_norge;bruktimportert;avreg_dato;farge;sist_pkk_godkjent;neste_pkk;siste_reg_dato;reg_1g_mnd_dag
"HT19080";"KNACC81CGH5022319";2017;60880042016;20170106;0;0;"RØD";0;20211031;20170106;106
"BN79700";"YV1965956S1026457";1995;460041994;19950511;0;20151228;"SVART";20140415;20151031;20150814;0
"FT34020";"VF30U9HZHAS243730";2010;54000152010;20101125;0;0;"HVIT";20160919;20181031;20110119;1125
"RJ57410";"VNKKG96300A013567";2006;56700062005;20060512;0;20171222;"SØLV";20161006;20181031;20090720;512
"ZW02890";"4XAMH50S48A532079";2008;350022005;20081111;0;0;"GRØNN";0;0;20081111;1111
"KF77590";"JHMEJ9340WS035586";1998;50120021995;19980514;0;0;"BLÅ";20160617;20181031;20160629;0
"BP75580";"WVWZZZ3BZ3P255899";2002;55532142002;20021024;0;0;"GRØNN";20170113;20181031;20160108;1024
"DJ07990";"289726";1991;490021989;19910619;0;0;;0;0;20120720;0
"XA14790";"WVWZZZ3BZXE328855";1999;53290161998;19990514;0;0;"BLÅ";20171031;20191031;20120620;0
"AA03560";"VG55BR00000310774";2000;560011998;20000330;0;20030821;"BLÅ";0;0;20030415;330
"BP95730";"WAUZZZ8H14K028926";2004;55930712003;20040811;0;0;"SVART";20160922;20181031;20160815;811
"EK36900";"SJNFAAZE0U6060134";2017;64710022016;20170627;0;0;"HVIT";0;20211031;20170627;627
"AX66430";"WBACJ11040LA67729";1996;50260031996;19961030;0;0;;20161222;20181031;20150921;0
"RJ02350";"300976";1979;1160011976;19790215;0;19950306;;0;0;19790215;0
"BB01210";"YXAB0718XBF212936";2011;380022006;20110429;0;0;"GRÅ";0;0;20110429;429
"HB64170";"YS3EF59D253521792";2005;54000302004;20050318;0;0;"SVART";20170925;20191031;20140204;318
"TV74800";"JN1TENT30U0074884";2004;56040032003;20070710;1;0;"SVART";20161011;20181031;20150609;414
"DR21000";"WF0AXXWPMAGS32876";2016;63480062016;20161223;0;0;"GRÅ";0;20201031;20161223;1223
"SZ02100";"YYB6004B050111815";2005;1040042000;20050407;0;0;"GRÅ";0;0;20131105;407
"UJ02950";"VTLSA224000006771";2004;32740022003;20041206;0;0;"RØD";0;0;20041206;1206
"PX09080";"50005065";1985;1610011982;19850531;0;19980420;"SVART";0;0;19960131;0
"SU56520";"YV1MC75518J052487";2008;56940072007;20080118;0;0;"HVIT";20160920;20181031;20130410;118
"NF79180";"TSMJYB22S00415556";2016;55960082015;20160613;0;0;"BLÅ";0;20201031;20160613;613
"BD29210";"WV1ZZZ9KZ2R521999";2002;1190032001;20020205;0;0;"GRÅ";20161024;20181031;20020205;205
"TS09060";"RK15PA0C36A001840";2007;30560012004;20070221;0;0;"RØD";0;0;20160414;221
"NE04550";"5007R42239";1991;120121990;19910225;0;0;"RØD (FLERFARGET)";0;0;20080402;0
"PP83960";"JN1TENT30U0133650";2005;53580052004;20090817;1;0;"SØLV";20171220;20191031;20170121;125
"SV76090";"YV1LF68BCH1135711";2016;53140062016;20161021;0;0;"HVIT";0;20201031;20161021;1021
"PP60080";"YV1RS746952456056";2005;57970172004;20050928;0;20120710;"GRÅ";20150909;20171031;20070503;928
"XK19310";"WDD2452071J689607";2011;51860652010;20110429;0;0;"SVART";20171101;20191031;20110429;429
"KH83010";"U5YPC813DCL114654";2011;54080142011;20120511;1;0;"GRÅ";20171130;20191031;20160721;1129
"LS85310";"SJNFCAJ11U1431968";2016;56150112015;20160204;0;0;"SVART";0;20201031;20160204;204
"YA66170";"WBA3J310X0F813060";2014;57190922013;20140107;0;0;"GRÅ";0;20181031;20170307;107
"EL96600";"SJNFAAZE0U6047839";2016;68320022015;20160518;0;0;"SVART";0;20201031;20160518;518
"KH48200";"VNKKL96340A171602";2007;56700182005;20070412;0;0;"SØLV";20180110;20191031;20130916;412
"KC09820";"SZB6792XXG2X00856";2017;410012015;20170410;0;0;"SVART";0;0;20170410;410
"AF07440";"32707";1987;370011981;19870514;0;0;;0;0;20150428;0
"PJ09550";"YYB6102EGC0187758";2012;180272007;20120725;0;0;"GRÅ";0;0;20120725;725
"DR31520";"WV1ZZZ7HZJH016934";2017;52604302017;20170809;0;0;"HVIT";0;20211031;20170809;809
"BR19420";"VF7JMHFXB97132241";2005;54290012003;20050819;0;0;"RØD";20171123;20191031;20050819;819
"JF07810";"ZR5SK508916";1987;8610011981;19870626;0;19990429;;0;0;19970127;0
"NL04630";"YXAC0720X4F542736";2004;100042004;20040922;0;0;"GRÅ";0;0;20040930;922
"RL01790";"420464";1984;1800011984;19841113;0;19930604;;0;0;19880929;0
"EL68670";"WVWZZZAUZGW900292";2015;57652522015;20150630;0;0;"BLÅ";0;20191031;20151125;630
"BT31860";"YV1DZ87C6G2811689";2015;58160052015;20150917;0;0;"BLÅ";0;20191031;20160406;917
"VF68460";"WF0WXXGBBW1G70653";2001;52860032001;20050503;1;0;"GRÅ";20170824;20191031;20140211;1108
"AX76550";"VF1JA04B523119858";2000;51630152000;20001117;0;0;"GRØNN";20160927;20181031;20120213;1117
"RJ12470";"SJNFEAP11U0587749";2002;53490092000;20020301;0;0;"BLÅ";20170119;20181031;20170223;301
"SY05420";"VTTBA111100111407";2004;30580012000;20040220;0;20141117;;0;0;20040220;220
"DN30800";"TMBKS61Z3A2057155";2009;56030322009;20091113;0;0;"SØLV";20171002;20191031;20130702;1113
